sr,bed,row,col,unique_id,svc,li600,time,date,config_name,config_author,remark,observation,x8,x9,gsw,gbw,gtw,e_apparent,v_pcham,v_pref,v_pleaf,vp_dleaf,h2o_r,h2o_s,h2o_leaf,leaf_area,leaf_width,flash_id,fo,fm,fv_fm,fs,fm_2,phi_ps2,ps2_1,abs,etr,trans,rh_s,rh_r,tref,tmeas,tleaf,p_atm,flow,flow_s,leak_pct,qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,bla,blb,blc,bld,ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,p1_dur,p2_dur,p3_dur,p1_fmax,p2_ramp,p2_slp,p3_fmax,p3_pred,p3_delta_f,v_hum_a,v_hum_b,v_flow_in,v_flow_out,v_temp,v_irt,v_pres,v_par,v_f,i_led,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flow_in,z_flow_out,z_quantum,z_flr,flash_id_2,lci_ser_num,lcp_ser_num,lcf_ser_num,lcrh_ser_num,version,config_updated_at,x7,x8.x,x9.x,survey_notes,x8.y,x9.y,genotype,type.x,type.y,measurement_header_end
NA,G,33,A,2465,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WV x WL2) x (WL2 x CC),F2,NA,NA
NA,G,33,B,2500,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,NA,NA
NA,G,34,A,1847,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL2,Parent,NA,NA
NA,G,34,B,2114,NA,306,12:20:29,2025-09-04,Manual gsw+F,LI-COR Default,NA,306,NA,NA,0.042209000000000003,2.921825,0.041608,1.176728,0.802031,0.775704,3.015295,2.213263,9.676105,10.004507,37.612667,0.441786,7.5,PSF-00177_20250904122029_7da,0,0,0,98.554016,241.498184,0.591906,0.5,0.8,31.258648,1,22.45,21.71,26.97,24.11,24.11,80.17,156.7,155.3,0.9,132,3.916,12:15:15,2025-09-04,0.08,NA,0.002,0.001,0.005,-0.143,-0.172,-0.187,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,233.909012,25,-5.189189,231.268997,234.015427,-2.746429,2.417924,2.41247,1.641341,0.926961,0.252148,-0.033567,0.665338,0.221061,99.055771,5.02e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122029_7da,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,1,NA
NA,G,35,A,2535,NA,307,12:20:52,2025-09-04,Manual gsw+F,LI-COR Default,NA,307,NA,NA,0.025208,2.922523,0.024992,0.692189,0.795505,0.780026,2.963678,2.168173,9.730322,9.923408,36.969955,0.441786,7.5,PSF-00177_20250904122052_48e,0,0,0,115.237358,281.991608,0.591345,0.5,0.8,27.943363,1,22.32,21.89,26.93,23.83,23.83,80.16,156.8,145.9,7,118,3.916,12:15:15,2025-09-04,0.08,NA,0.003,0,0.015,0.537,0.005,21.771,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,278.122894,25,-3.391416,276.130188,277.101227,-0.971039,2.418217,2.412282,1.642078,0.903337,0.252603,-0.036353,0.665677,0.209109,115.168335,5.02e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122052_48e,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x BH) x (WL2 x CC),F2,1,NA
NA,G,36,A,2548,NA,308,12:21:11,2025-09-04,Manual gsw+F,LI-COR Default,NA,308,NA,NA,0.025113,2.920979,0.024899,0.677398,0.78682,0.771653,2.917332,2.130512,9.626163,9.815374,36.392956,0.441786,7.5,PSF-00177_20250904122111_f7e,0,0,0,90.812805,260.785919,0.651773,0.5,0.8,30.311832,1,22.12,21.69,26.89,23.56,23.56,80.16,156.6,152.5,2.6,116,3.915,12:15:15,2025-09-04,0.08,NA,0.001,0.004,0.008,0.035,-0.073,-0.132,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,256.763947,25,-2.96346,254.647858,256.512634,-1.864777,2.41791,2.411964,1.640449,0.919869,0.252913,-0.039006,0.666091,0.207502,90.812805,5.1e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122111_f7e,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x WV) x (CC x WL2),F2,1,NA
NA,G,36,B,1732,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TM2,Parent,NA,NA
NA,G,37,B,2527,NA,309,12:21:40,2025-09-04,Manual gsw+F,LI-COR Default,NA,309,NA,NA,0.030995,2.921677,0.03067,0.824853,0.830209,0.811761,2.935439,2.105229,10.126727,10.356873,36.619629,0.441786,7.5,PSF-00177_20250904122140_a55,0,0,0,94.995972,234.943985,0.595665,0.5,0.8,36.361031,1,23.39,22.87,26.86,23.67,23.67,80.16,156.7,153.4,2.1,153,3.915,12:15:15,2025-09-04,0.08,NA,0.003,0.001,-0.006,-0.393,-0.965,2.156,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,234.943985,25,-0.161155,231.906647,234.711594,-2.804947,2.419796,2.413977,1.641184,0.922149,0.253311,-0.03735,0.66712,0.238769,94.995972,5e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122140_a55,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x BH) x (WL2 x CC),F2,1,NA
NA,G,38,A,1697,NA,310,12:21:58,2025-09-04,Manual gsw+F,LI-COR Default,NA,310,NA,NA,0.042529,2.920515,0.041919,1.078997,0.860549,0.836404,2.875779,2.01523,10.434314,10.735531,35.875938,0.441786,7.5,PSF-00177_20250904122158_e49,0,0,0,83.32872,230.558044,0.638578,0.5,0.8,23.240726,1,24.28,23.6,26.83,23.33,23.33,80.16,156.6,156.5,0,91,3.915,12:15:15,2025-09-04,0.08,NA,0.001,0.001,-0.001,1.35,-3.002,-17.166,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,212.453491,25,-8.394382,219.978333,218.453415,1.524918,2.420944,2.415363,1.639959,0.929854,0.253522,-0.041023,0.667791,0.18575,79.712746,4.98e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122158_e49,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,SQ3,Parent,1,NA
NA,G,38,B,1330,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WV x WL2) x (WL2 x DPR),F2,NA,NA
NA,G,39,B,2094,NA,311,12:22:19,2025-09-04,Manual gsw+F,LI-COR Default,NA,311,NA,NA,0.01038,2.922194,0.010343,0.354715,0.821279,0.813348,3.496428,2.6751490000000002,10.146018,10.244959,43.615803,0.441786,7.5,PSF-00177_20250904122219_b82,0,0,0,138.779999,156.44133,0.112894,0.5,0.8,18.142179,1,23.16,22.94,26.84,26.6,26.6,80.16,156.8,156.8,-0,402,3.915,12:15:15,2025-09-04,0.08,NA,0.001,0.002,0.021,1.576,5.046,46.36,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,153.778549,25,-2.36271,152.140976,153.034317,-0.893341,2.419899,2.413614,1.641732,0.930728,0.253449,-0.002748,0.668876,0.453135,138.779999,4.88e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122219_b82,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,1,NA
NA,G,40,A,2171,NA,312,12:22:32,2025-09-04,Manual gsw+F,LI-COR Default,NA,312,NA,NA,0.030861,2.921791,0.030539,1.00671,0.791289,0.768763,3.365369,2.57408,9.589972,9.870971,41.981449,0.441786,7.5,PSF-00177_20250904122232_1db,0,0,0,121.800903,136.658478,0.10872,0.5,0.8,25.544018,1,22.32,21.68,26.84,25.96,25.96,80.16,156.7,153.6,2,587,3.858,12:15:15,2025-09-04,0.08,NA,0.001,0.003,0.034,-0.671,0.054,12.216,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,134.287125,25,-1.963404,133.114807,133.827271,-0.712463,2.417899,2.412283,1.641305,0.922618,0.25346,-0.010418,0.669499,0.612849,121.800903,5.03e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122232_1db,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(TM2) x (TM2 x WL2),F2,1,NA
NA,G,40,B,2270,NA,313,12:23:01,2025-09-04,Manual gsw+F,LI-COR Default,NA,313,NA,NA,0.052727,2.921669,0.051792,1.973409,0.847846,0.803717,3.813422,2.965576,10.026071,10.57656,47.571003,0.441786,7.5,PSF-00177_20250904122301_d2e,0,0,0,99.997398,99.941231,-5.62e-4,0.5,0.8,-0.159004,1,23.88,22.64,26.86,28.08,28.08,80.16,156.7,148,5.6,707,3.913,12:15:15,2025-09-04,0.08,NA,0.003,0.005,-0,-1.263,-2.447,-4.433,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,97.102043,25,-2.12635,95.715881,96.875053,-1.159172,2.419416,2.414734,1.641176,0.908507,0.253221,0.014786,0.671359,0.716035,99.997398,4.84e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122301_d2e,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x TM2) x (TM2),F2,1,NA
NA,G,41,A,2229,NA,314,12:23:16,2025-09-04,Manual gsw+F,LI-COR Default,NA,314,NA,NA,0.015042,2.923202,0.014965,0.605324,0.795361,0.781832,3.942011,3.14665,9.753214,9.921978,49.175861,0.441786,7.5,PSF-00177_20250904122316_a5e,0,0,0,204.18692,180.71431,-0.129888,0.5,0.8,-82.46698,1,22.36,21.98,26.89,28.65,28.65,80.16,156.9,154.1,1.8,1587,3.913,12:15:15,2025-09-04,0.08,NA,0.003,0.003,0.004,-3.617,-4.431,7.717,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,174.871094,25,-5.55895,170.034164,172.698349,-2.664185,2.418372,2.412349,1.642798,0.923927,0.252937,0.021383,0.672531,1.473164,204.18692,4.83e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122316_a5e,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x CC) x (WL2 x BH),F2,1,NA
NA,G,41,B,706,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(DPR x WL2) x (YO11 x WL2),F2,NA,NA
NA,G,42,B,1464,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(DPR x WL2) x (WV x WL2),F2,NA,NA
NA,G,4,D,1100,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WL2 x DPR) x (WL2),F2,NA,NA
NA,G,5,C,2083,NA,315,12:24:12,2025-09-04,Manual gsw+F,LI-COR Default,NA,315,NA,NA,0.028206,2.921566,0.027937,0.806633,0.755645,0.737591,3.01501,2.259366,9.204325,9.429617,37.62402,0.441786,7.5,PSF-00177_20250904122412_30a,0,0,0,99.650864,265.562286,0.624755,0.5,0.8,40.669762,1,21.19,20.68,26.94,24.11,24.11,80.14,156.7,156.9,-0.2,163,3.856,12:15:15,2025-09-04,0.08,NA,0,0.001,0.04,-1.268,-0.849,26.229,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,265.562286,25,2.732472,268.216614,269.502472,-1.285858,2.416283,2.410483,1.641068,0.931007,0.252491,-0.033177,0.675776,0.24749,98.41597,4.95e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122412_30a,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(DPR x TM2) x (TM2 x WL2),F2,1,NA
NA,G,5,D,YO7_5_7,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,G,6,C,2537,NA,316,12:24:34,2025-09-04,Manual gsw+F,LI-COR Default,NA,316,NA,NA,0.025872,2.9221,0.025645,0.637341,0.814299,0.800051,2.761429,1.94713,9.98376,10.161563,34.45961,0.441786,7.5,PSF-00177_20250904122434_464,0,0,0,105.388641,321.161224,0.671851,0.5,0.8,33.95462,1,22.85,22.45,26.92,22.66,22.66,80.14,156.8,154.4,1.5,126,3.912,12:15:15,2025-09-04,0.08,NA,0,0.003,0.002,0.119,0.436,25.124,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,315.821533,25,-3.570477,313.809143,316.012634,-2.203491,2.419119,2.41312,1.641631,0.924497,0.252629,-0.049766,0.676865,0.216175,105.416176,4.92e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122434_464,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x BH) x (WL2 x CC),F2,1,NA
NA,G,6,D,2560,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WV x WL2) x (WL2 x BH),F2,NA,NA
NA,G,7,D,2024,NA,317,12:24:56,2025-09-04,Manual gsw+F,LI-COR Default,NA,317,NA,NA,0.020628,2.922739,0.020483,0.594878,0.788496,0.775201,3.059739,2.271243,9.674467,9.840393,38.185398,0.441786,7.5,PSF-00177_20250904122456_b00,0,0,0,53.693535,180.34494,0.702273,0.5,0.8,58.768085,1,22.16,21.78,26.9,24.36,24.36,80.13,156.8,145,7.5,209,3.912,12:15:15,2025-09-04,0.08,NA,0.001,0.002,-0.001,0.791,0.59,0.142,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,180.34494,25,1.604387,181.099182,182.658447,-1.559265,2.418051,2.412021,1.642307,0.901176,0.252829,-0.029922,0.677966,0.287468,53.693535,5.14e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122456_b00,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WL2 x LV1,F1,1,NA
NA,G,8,C,2598,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(TM2 x WL2) x (TM2),F2,NA,NA
NA,G,9,C,2008,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL1 x WL2,F1,NA,NA
NA,G,10,C,2197,NA,318,12:25:32,2025-09-04,Manual gsw+F,LI-COR Default,NA,318,NA,NA,0.090871,2.923367,0.088131,3.052215,0.831587,0.763442,3.531085,2.699498,9.527753,10.378205,44.067917,0.441786,7.5,PSF-00177_20250904122532_01a,0,0,0,76.426865,129.410507,0.409423,0.5,0.8,274.104706,1,23.4,21.48,26.88,26.77,26.77,80.13,156.9,155.3,1,1674,3.91,12:15:15,2025-09-04,0.08,NA,0,0.001,0.037,0.469,0.016,-0.413,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,129.410507,25,3.19624,131.494049,134.019455,-2.525406,2.417572,2.413981,1.642972,0.926911,0.253061,-0.001212,0.679734,1.547549,76.426865,4.88e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122532_01a,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x BH) x (WL2 x CC),F2,1,NA
NA,G,11,C,2495,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(LV1 x WL2) x (YO11 x WL2),F2,NA,NA
NA,G,11,D,2089,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(LV1 x WL2) x (WL2),F2,NA,NA
NA,G,13,C,2645,NA,319,12:26:17,2025-09-04,Manual gsw+F,LI-COR Default,NA,319,NA,NA,0.025356,2.921908,0.025138,0.722413,0.730309,0.714141,2.979751,2.249442,8.912388,9.114167,37.186924,0.441786,7.5,PSF-00177_20250904122617_e05,0,0,0,83.636642,184.156433,0.545839,0.5,0.8,21.720947,1,20.57,20.11,26.86,23.92,23.92,80.13,156.7,156.5,0.2,99,3.91,12:26:03,2025-09-04,0.09,NA,-0.001,-0,0.018,-3.598,-1.443,0.486,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,142.510406,25,-26.588776,137.688156,145.815659,-8.127502,2.415368,2.409491,1.641428,0.929808,0.25321,-0.03459,0.681102,0.193062,83.636642,5.08e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904122617_e05,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x TM2) x (TM2),F2,1,NA
